utterance,intent,slots
Route to station avoiding tolls,NAVIGATE,"{""destination"": ""station""}"
Make a phone call to anita,CALL_CONTACT,"{""contact"": ""anita""}"
Drive to station via scenic route,NAVIGATE,"{""destination"": ""station""}"
swordplay the play list route turn on Playlist,PLAY_MUSIC,
There is a strange noise when idling,REPORT_FAULT,
Engine temperature status,VEHICLE_STATUS,
Show fire pull down,VEHICLE_STATUS,
How long will it take to reach market?,NAVIGATE_QUERY,"{""destination"": ""market""}"
What time live IT?,NONE,
guide me to downtown,NAVIGATE,"{""destination"": ""downtown""}"
Check locomotive lightsome constitute on,REPORT_FAULT,
That's a nice Song dynasty,NONE,
gaming the playlist Chill vibraharp,PLAY_MUSIC,
That's a overnice song,NONE,
Play the playlist gelidity Vibes,PLAY_MUSIC,
Make a call to living,CALL_CONTACT,"{""contact"": ""support""}"
Navigate to school,NAVIGATE,"{""destination"": ""school""}"
Play the play list Chill Vibes,PLAY_MUSIC,
Check railway locomotive light exist on,REPORT_FAULT,
set off,STOP,
Navigate to office,NAVIGATE,"{""destination"": ""office""}"
Phone ravi,CALL_CONTACT,"{""contact"": ""ravi""}"
What's the ETA to office?,NAVIGATE_QUERY,"{""destination"": ""office""}"
Check locomotive light be on,REPORT_FAULT,
Make a call to michael,CALL_CONTACT,"{""contact"": ""michael""}"
What's the ETA to college?,NAVIGATE_QUERY,"{""destination"": ""college""}"
Drive to station via,NAVIGATE,"{""destination"": ""station""}"
What sentence is it?,NONE,
Route to market debar bell,NAVIGATE,"{""destination"": ""market""}"
Navigate to college,NAVIGATE,"{""destination"": ""college""}"
Check engine light is on,REPORT_FAULT,
My engine live making a knocking level-headed,REPORT_FAULT,
Distance to position?,NAVIGATE_QUERY,"{""destination"": ""office""}"
Get directions to office,NAVIGATE,"{""destination"": ""office""}"
My engine is seduce a knocking sound,REPORT_FAULT,
I make up at the food market yesterday,NONE,
Call support,CALL_CONTACT,"{""contact"": ""support""}"
shout anita,CALL_CONTACT,"{""contact"": ""anita""}"
I like the colorise of this car,NONE,
Engine temperature position,VEHICLE_STATUS,
pull in antiophthalmic factor call to michael,CALL_CONTACT,"{""contact"": ""michael""}"
My engine constitute making a knocking auditory sensation,REPORT_FAULT,
Make a call to mom,CALL_CONTACT,"{""contact"": ""mom""}"
at that place is a strange noise when idling,REPORT_FAULT,
Make a call to dad,CALL_CONTACT,"{""contact"": ""dad""}"
My engine be making a knocking sound,REPORT_FAULT,
break off,STOP,
gambol Road jaunt Playlist,PLAY_MUSIC,
That's a nice song,NONE,
What's the Basque Homeland and Freedom to market?,NAVIGATE_QUERY,"{""destination"": ""market""}"
Get directions to school,NAVIGATE,"{""destination"": ""school""}"
Play the playlist cover Hits,PLAY_MUSIC,
Distance to office?,NAVIGATE_QUERY,"{""destination"": ""office""}"
Call dad,CALL_CONTACT,"{""contact"": ""dad""}"
Call ravi,CALL_CONTACT,"{""contact"": ""ravi""}"
What's the ETA to market?,NAVIGATE_QUERY,"{""destination"": ""market""}"
turn back navigation,STOP,
